id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73282,"Clean, central, quiet",377532,Simona,Kreis 3,Sihlfeld,47.37167,8.51948,Entire home/apt,,1125,47,2019-04-27,0.32,1,358,0,
143821,LOFT on 2 floors in Sihlcity Zürich,697307,Erhan,Kreis 3,Alt-Wiedikon,47.35761,8.52131,Entire home/apt,239,3,0,,,1,265,0,
178448,"a lovely place, top location",854016,Delphine,Kreis 2,Enge,47.36514,8.52615,Private room,60,5,9,2016-05-10,0.06,1,28,0,
204586,very nice city apartment,1004816,Aicha,Kreis 10,Höngg,47.40644,8.48385,Private room,200,3,0,,,1,364,0,
227039,*Luxury Penthouse in the heart of trendy Zurich*,1184427,Lucas,Kreis 5,Escher Wyss,47.38942,8.51881,Entire home/apt,500,4,31,2023-08-22,0.20,1,211,1,
251204,Lovely apartment in the middle of trendy Wipkingen,1224284,Urban,Kreis 10,Wipkingen,47.39282,8.52685,Entire home/apt,,5,1,2022-10-03,0.05,1,0,0,
253802,In the Heart of Zürich,1333119,Marko,Kreis 1,Lindenhof,47.37356,8.53949,Entire home/apt,,3,4,2023-06-17,0.26,1,0,0,
283737,Best Location in Zurich Oldtown,1477771,Nuria,Kreis 1,Rathaus,47.37372,8.54452,Entire home/apt,159,4,353,2024-06-11,2.33,3,41,32,
292351,120 sqM - 3 bedrooms + lounge in central Zurich,1513739,Anil,Kreis 4,Hard,47.38066,8.50657,Entire home/apt,189,5,10,2023-07-31,0.13,1,32,1,
310964,Large Apartment - Center of Zurich,1266114,Kim,Kreis 1,Hochschulen,47.36713,8.54868,Entire home/apt,360,7,13,2019-01-06,0.09,1,0,0,
577683,Garden Apartment in Zurich West with private Gym,1240329,Claudio,Kreis 10,Höngg,47.4049,8.49555,Entire home/apt,,10,7,2021-07-03,0.05,1,213,0,
606954,Big and quiet bedroom in green area!,2659673,Esther,Kreis 3,Sihlfeld,47.36865,8.49948,Private room,,2,3,2020-03-10,0.02,1,0,0,
610348,"Duplex  Flat, 120 m2 7-8  persons",3026473,Leandra,Kreis 11,Oerlikon,47.40703,8.55232,Entire home/apt,240,5,142,2024-06-10,0.99,2,237,15,
620130,NB1: Charming 2-room apartment,3072679,Felix,Kreis 10,Wipkingen,47.39278,8.53,Entire home/apt,185,3,25,2020-02-08,0.25,5,0,0,
644888,Big and bright duplex in the heart of Zurich,3228273,Violetta,Kreis 3,Sihlfeld,47.37821,8.50637,Private room,90,4,16,2023-08-14,0.11,1,318,1,
706972,NB2: good value 1-room apartment,3072679,Felix,Kreis 10,Wipkingen,47.39229,8.52951,Entire home/apt,134,3,8,2020-03-17,0.08,5,0,0,
706997,NB3: Beautiful 2-bedroom apartment,3072679,Felix,Kreis 10,Wipkingen,47.39364,8.5285,Entire home/apt,165,3,12,2019-05-31,0.09,5,0,0,
736917,Central cosy room with roof terrace,3847136,Lars,Kreis 3,Alt-Wiedikon,47.36451,8.51342,Private room,,5,6,2015-07-19,0.05,1,17,0,
743035,Unique Home in the midst of Nature near Zuerich,3891818,Jacqueline,Kreis 3,Friesenberg,47.35491,8.48682,Entire home/apt,236,2,103,2024-06-16,0.77,1,338,10,
751660,Entire flat in a trendy area,3952536,Monica,Kreis 3,Sihlfeld,47.37531,8.51494,Entire home/apt,,2,126,2023-05-20,0.89,1,0,0,
815055,Quiet room in Zürich 5min to center,3693420,Nathalie,Kreis 2,Wollishofen,47.3366,8.53388,Private room,49,1,82,2023-07-03,0.60,1,3,2,
898829,Top modernes Gästezimmer in Zürich Seebach,4797927,Pietro,Kreis 11,Seebach,47.42659,8.546569,Private room,59,1,315,2024-06-27,2.30,1,270,58,
1028631,Architect's loft seen in magazines centre Zurich,1145413,Jurgita,Kreis 4,Werd,47.37362,8.5233,Entire home/apt,536,4,89,2024-06-16,0.65,1,118,3,
1126401,Family apartment in Zürich Kreis 5,5924039,Michael,Kreis 5,Gewerbeschule,47.38573,8.53126,Entire home/apt,350,7,4,2019-04-27,0.04,1,14,0,
1137339,"Zurich - easy, central, convenient",6238643,Bernadette,Kreis 10,Höngg,47.40177,8.49502,Private room,54,5,42,2024-04-06,0.34,2,69,2,
1179802,"Zurich-heart of the city, 2,5 rooms",3072454,Christine,Kreis 4,Langstrasse,47.3788,8.5346,Entire home/apt,,3,212,2022-07-29,1.58,1,0,0,
1283510,Sonnige zweigeschossige Wohnung in Zürich-West,6165726,Beat,Kreis 5,Escher Wyss,47.39436,8.50909,Entire home/apt,123,7,2,2017-08-08,0.02,1,240,0,
1473567,Subletting apartment or room,7888485,Heiko,Kreis 3,Friesenberg,47.36834,8.5026,Entire home/apt,96,1,26,2018-09-24,0.20,1,37,0,
1478873,Room in Duplex Apartment,7698073,Christos,Kreis 2,Enge,47.36063,8.53471,Private room,,1,74,2019-12-24,0.56,5,0,0,
1528138,Modern Appartement with own Garden,8152499,Fredy,Kreis 6,Unterstrass,47.39393,8.53442,Entire home/apt,120,3,75,2021-08-01,0.57,1,1,0,
1566319,Big terrace apartment close to Tiefenbrunen,7090119,Raichvarg,Kreis 8,Weinegg,47.35106,8.56784,Entire home/apt,300,5,2,2022-08-04,0.07,1,173,0,
1599790,room in a penthouse in Zurich,8527761,Ben,Kreis 11,Oerlikon,47.40808,8.55491,Private room,158,1,6,2019-07-04,0.05,1,365,0,
1637876,Spacious room near center and university,1275222,Yvonne,Kreis 7,Fluntern,47.38175,8.55171,Private room,85,2,544,2024-06-29,4.15,1,56,51,
1638930,Private room in center of Zurich,8699600,Ivo,Kreis 5,Gewerbeschule,47.38279,8.532,Private room,,1,295,2024-01-06,2.25,1,0,5,
1834747,Bedroom with double bed in a shared central apt,3387271,Rakesh,Kreis 1,Lindenhof,47.37313,8.53899,Private room,,2,41,2024-05-28,0.33,1,0,9,
1859135,Wohnung in bester Lage Zürich,9700015,Esther,Kreis 7,Fluntern,47.37854,8.55935,Entire home/apt,,20,0,,,1,0,0,
1876794,Modern sunny Appartment,1599948,Boris,Kreis 7,Hottingen,47.36853,8.55149,Entire home/apt,300,3,12,2023-07-16,0.10,2,89,1,
1880893,Sunny modern penthouse close to Bellevue/Lake,1599948,Boris,Kreis 1,Hochschulen,47.36701,8.54944,Entire home/apt,270,3,19,2023-05-27,0.16,2,89,0,
1888122,Cozy Studio Zürich-City! Ideal for business trips,9758486,Sandy,Kreis 8,Mühlebach,47.3656,8.54874,Entire home/apt,79,5,17,2024-05-16,0.42,1,44,10,
1944658,Room in apartment of a woman only for a woman,620454,Reinhard,Kreis 6,Unterstrass,47.39289,8.53524,Private room,,7,22,2022-04-30,0.19,1,0,0,
1962016,A spacious space,9175734,Roland,Kreis 9,Altstetten,47.38122,8.49908,Private room,140,2,124,2024-06-16,0.98,1,357,5,
1982405,studio / home office  in a trendy quarter,5614354,Subas,Kreis 10,Wipkingen,47.39325,8.53188,Entire home/apt,85,14,52,2024-01-27,0.42,2,166,4,
1992345,Furnished apartment near the lake,1509492,Villa,Kreis 2,Wollishofen,47.33772,8.53953,Entire home/apt,163,5,2,2024-06-01,0.02,3,195,1,
2004128,Super central & cozy (+ family-friendly)!,8658139,Malin,Kreis 4,Werd,47.37043,8.52843,Entire home/apt,165,5,29,2023-08-09,0.23,1,145,1,
2019124,"New Modern Apartment, Great Area!",4387358,Mo & Angelika,Kreis 5,Escher Wyss,47.38797,8.5122,Entire home/apt,202,14,23,2023-08-26,0.18,3,59,1,
2021797,Roomy well-lit Private room Heart of Zurich,10379615,Josh,Kreis 3,Alt-Wiedikon,47.36249,8.52253,Private room,65,7,138,2023-07-01,1.08,2,114,1,
2045519,"Groundfloor Room i/Family Home Hottingen, Kreis 7",10487269,Christine,Kreis 7,Hottingen,47.36644,8.56301,Private room,54,10,91,2022-08-31,0.74,4,192,0,
2049847,"Balcony Room in FamilyHome Hottingen, Kreis 7",10487269,Christine,Kreis 7,Hottingen,47.36644,8.56301,Private room,54,7,105,2023-09-01,0.86,4,228,3,
2055920,Modern 5.5 Meter Celings City Center Flat!,4387358,Mo & Angelika,Kreis 5,Gewerbeschule,47.38153,8.5288,Entire home/apt,404,14,15,2023-12-26,0.12,3,232,2,
2073042,Bedroom i/Family Home ZüriHottingen,10487269,Christine,Kreis 7,Hottingen,47.36672,8.56401,Private room,54,9,57,2023-11-30,0.45,4,221,6,
2082084,Basic Well-lit Private Room Heart of Zurich,10379615,Josh,Kreis 3,Alt-Wiedikon,47.36431,8.52174,Private room,60,7,129,2024-05-31,1.02,2,115,5,
2470664,"Old-town, cozy 2 rooms flat, fully furnished",10651736,Alberto,Kreis 1,Rathaus,47.37452,8.54549,Entire home/apt,83,20,51,2023-11-25,0.41,2,338,3,
2668952,Studio mit absoluter Traumaussicht (51),13570663,Christian Robert,Kreis 1,Lindenhof,47.37554,8.54207,Entire home/apt,143,3,438,2024-06-13,3.63,35,290,44,
2679799,Discover Zürich & relax comfortably,8061776,Salvia,Kreis 2,Wollishofen,47.3367,8.53347,Private room,72,2,142,2024-06-27,1.15,3,22,26,
2759581,Old-town 2 room flat with river view,10651736,Alberto,Kreis 1,Rathaus,47.37569,8.54465,Entire home/apt,108,20,47,2024-06-07,0.39,2,290,5,
2785626,Panoramic View of Zurich with 30sqm Terrace,10250756,Julie,Kreis 5,Escher Wyss,47.39022,8.51972,Entire home/apt,,4,49,2022-07-28,0.41,1,0,0,
2836559,Apartment in best location!,7014021,Jonathan,Kreis 1,Lindenhof,47.37274,8.54002,Entire home/apt,829,2,74,2024-05-11,0.60,1,109,5,
2852452,Centrally located 4-room apartment – a real gem!,9162952,Andreas,Kreis 6,Oberstrass,47.37753,8.54877,Entire home/apt,160,30,16,2024-05-10,0.13,1,77,1,
2869056,Letzigrund Jade Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,98,1,4,2023-07-08,0.06,107,121,1,
2869081,Letzigrund Magenta Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,,1,18,2020-01-06,0.16,107,121,0,
2869105,Letzigrund Maroon Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,91,1,14,2023-12-17,0.13,107,121,1,
2869130,Letzigrund Khaki Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,98,1,6,2019-08-03,0.05,107,121,0,
2920505,N1 Apartment in the heart of Zurich,12886487,Stephanie,Kreis 1,Rathaus,47.37505,8.54372,Entire home/apt,159,1,24,2023-08-25,0.21,107,321,1,
2920543,N2 - Apartment in the Old Town,12886487,Stephanie,Kreis 1,Rathaus,47.37505,8.54372,Entire home/apt,160,1,40,2024-05-28,0.33,107,284,9,
2920590,ZH Bellevue 3 - HITrental Apartment Zürich,12886487,Stephanie,Kreis 8,Mühlebach,47.36427,8.54935,Entire home/apt,193,1,69,2024-05-04,0.60,107,247,8,
2920698,3 room apartment in a historic town - S3,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,228,1,165,2024-06-29,1.38,107,293,44,
2920742,S1 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,157,1,47,2024-05-21,0.40,107,309,7,
2920780,S2 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,159,1,41,2024-06-02,0.35,107,353,15,
2920806,S4 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,160,1,6,2020-07-22,0.06,107,323,0,
2962635,S5 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,157,1,27,2024-04-15,0.23,107,330,3,
3209659,"Stadt Zürich , freundliches Zimmer (3)",19610180,Rossana,Kreis 9,Altstetten,47.3804,8.48076,Private room,59,30,32,2023-07-11,0.30,19,210,4,
3470221,"Studio Penthouse Apartment, Seefeld",17484617,Marie,Kreis 8,Mühlebach,47.35697,8.55664,Entire home/apt,266,3,4,2023-12-15,0.04,23,197,1,
3470708,"1-bedroom apartment suite, Seefeld",17484617,Marie,Kreis 8,Mühlebach,47.35703,8.5567,Entire home/apt,334,3,9,2023-10-04,0.08,23,158,1,
3483175,"2-bedroom family apartment, Seefeld",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.5566,Entire home/apt,415,3,28,2022-08-30,0.23,23,175,0,
3487718,"1-bedroom apartment, Seefeld",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,319,3,11,2022-11-15,0.09,23,261,0,
3631629,Central location next to the lake 2 room flat,18306611,Natalia,Kreis 8,Mühlebach,47.36455,8.54903,Entire home/apt,,7,47,2022-10-31,0.39,1,0,0,
3673115,Living in the heart of Zürich.,6225442,Gian,Kreis 4,Langstrasse,47.37551,8.53039,Private room,,20,7,2019-11-10,0.06,1,0,0,
3680581,Bright Airy Apt on Lake Zurich,4800368,Lizanne,Kreis 8,Seefeld,47.35603,8.55208,Entire home/apt,400,2,25,2023-07-03,0.21,1,361,1,
3745895,Beautiful Studio in trendy area,10325499,Sari,Kreis 5,Escher Wyss,47.38733,8.52339,Entire home/apt,120,6,20,2024-06-23,0.17,1,356,3,
3813905,Stadt Zürich-kleines Studio,19610180,Rossana,Kreis 9,Altstetten,47.38055,8.48124,Entire home/apt,63,1,432,2024-06-14,3.96,19,283,72,
3857206,Stylish apartment in the centre of Zurich.,19898314,Katarína,Kreis 3,Alt-Wiedikon,47.36723,8.51917,Entire home/apt,500,14,15,2023-06-18,0.24,3,364,0,
3872298,beautiful luxury apartment...,20002991,Mars,Kreis 9,Altstetten,47.38965,8.49178,Entire home/apt,95,10,59,2024-03-29,0.49,1,232,7,
3890636,Stadt Zürich -Studio beim Albisriederplatz 4507,19610180,Rossana,Kreis 4,Hard,47.37997,8.50702,Entire home/apt,99,1,591,2024-06-09,4.93,19,334,48,
3941358,Trendy Studio at the best area !,13570663,Christian Robert,Kreis 8,Mühlebach,47.36365,8.54939,Entire home/apt,132,3,130,2023-09-22,1.09,35,348,2,
4145732,"Stadt Zürich-4101 helles Studio,Albisriederplatz",19610180,Rossana,Kreis 4,Hard,47.3800028,8.507072100000002,Entire home/apt,120,1,231,2024-06-01,2.00,19,347,35,
4195239,"Studio Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,194,3,36,2024-03-03,0.32,23,236,1,
4201758,"1-bedroom apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,185,3,8,2024-03-17,0.07,23,188,1,
4201898,"2-bedroom apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,363,3,44,2023-12-15,0.40,23,178,1,
4202724,"Studio apartment 40m², Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,275,3,8,2021-11-14,0.07,23,182,0,
4222482,"1-bedroom apartment, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,285,3,5,2019-10-31,0.04,23,178,0,
4222657,"2-bedroom apartment, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,484,3,30,2023-12-28,0.26,23,260,5,
4222997,"1-bedroom apartment, Nordstrasse",17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,242,7,14,2024-05-17,0.12,23,198,1,
4230607,Swiss Design in Zürich-Oerlikon,7349875,Sonja,Kreis 11,Oerlikon,47.40565,8.54868,Entire home/apt,110,7,26,2020-09-27,0.27,1,179,0,
4246456,Mini-Musiker-Zimmer,21714165,Katie,Kreis 1,Rathaus,47.37136,8.54351,Private room,59,1,1174,2024-06-29,10.26,3,30,157,
4281532,"1-bedroom apartment, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,320,3,3,2022-09-30,0.03,23,356,0,
4290893,"1-bedroom apartment, Nordstrasse",17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,220,7,6,2021-10-28,0.05,23,178,0,
4298448,Central to lake and train station,9068489,Duygu,Kreis 7,Hottingen,47.37379,8.56275,Private room,90,2,26,2024-06-15,0.23,2,358,5,
4298896,"Central garden flat, 3 bedrooms",9068489,Duygu,Kreis 7,Hottingen,47.3747439163099,8.562542621022416,Private room,300,1,1,2024-06-16,1,2,266,1,
4315829,Double bed room 2 Top of Zurich,22404783,Silvia,Kreis 7,Witikon,47.35655,8.59939,Private room,95,2,78,2024-06-02,0.71,3,302,14,
4368558,Modern spacious apartment,17455976,Simon,Kreis 4,Hard,47.38095,8.50514,Entire home/apt,116,100,2,2015-05-23,0.02,1,365,0,
4381761,Style&Large @Hip-Party-Area with HomeCinema.,1926619,Stefan,Kreis 4,Langstrasse,47.3767,8.52546,Entire home/apt,357,1,65,2023-06-18,0.74,1,72,0,
4413887,Zurich apartment,22911763,Greg,Kreis 8,Seefeld,47.36035,8.54788,Entire home/apt,,2,3,2015-03-06,0.03,1,0,0,
4425602,spacious 75m² home with big terrace,1006097,Franziska,Kreis 9,Altstetten,47.39234,8.4779,Entire home/apt,135,2,86,2024-06-16,0.76,1,205,12,
4425760,"Spacious, centrally located flat",2963607,Sandra,Kreis 6,Unterstrass,47.3901,8.53958,Entire home/apt,140,7,41,2024-05-05,0.35,1,22,5,
4460481,Cozy room & Sunny balcony in Zurich,12051025,Churyon,Kreis 9,Altstetten,47.38904,8.48716,Private room,63,3,115,2024-05-30,1.10,1,28,13,
4475762,2-room-apartment in Zurich Kreis 10,3483049,Demian,Kreis 10,Wipkingen,47.39301,8.52938,Entire home/apt,75,89,13,2024-04-20,0.11,1,61,1,
4531677,Masterbedroom in Duplex Apartment,7698073,Christos,Kreis 2,Enge,47.36123,8.53382,Private room,,1,13,2020-01-05,0.11,5,0,0,
4544512,1BR executive apartment Mainau 5,23561865,Dimi,Kreis 8,Seefeld,47.36025,8.54922,Entire home/apt,,2,62,2024-06-23,0.56,71,0,11,
4666089,Modern & cosy room in the city center,2598633,Antonio,Kreis 5,Gewerbeschule,47.38573,8.52743,Private room,190,1,0,,,1,86,0,
4666318,"Bright and charming, in Zürich",3477312,Gisela,Kreis 3,Alt-Wiedikon,47.35997772216797,8.522051811218262,Entire home/apt,220,6,44,2024-06-22,0.40,1,255,5,
4748384,"1 Bedroom Serviced Apartment, Unterstrass",24506494,EMA House,Kreis 6,Unterstrass,47.38417,8.54212,Entire home/apt,294,2,14,2024-06-23,0.15,20,295,8,
4796892,Musiker-Unterkunft,21714165,Katie,Kreis 1,Rathaus,47.3714,8.54349,Private room,64,1,1034,2024-06-29,8.92,3,42,160,
4797373,Wirtewohnung,21714165,Katie,Kreis 1,Rathaus,47.3714,8.54349,Entire home/apt,224,1,439,2024-06-26,3.78,3,48,60,
4836907,Apartment in Zürich center,1372488,Jelisaveta Elizabeth,Kreis 5,Gewerbeschule,47.38692,8.52969,Entire home/apt,110,3,24,2023-10-01,0.21,1,35,1,
4850468,Air Conditioned 3.5 room apartment in Zurich,720175,Patrick,Kreis 11,Seebach,47.42615,8.54844,Entire home/apt,,5,1,2021-10-03,0.03,1,0,0,
4921250,charming flat in excellent location,25347589,Patricia,Kreis 6,Unterstrass,47.38637,8.54343,Entire home/apt,,3,87,2023-06-16,0.77,1,0,0,
5000434,fully furnished flat / nearby ETH + Airport + City,7926514,Ruben,Kreis 11,Affoltern,47.41972,8.51008,Entire home/apt,63,10,37,2024-06-08,0.34,1,194,3,
5081849,"Neues, zentral gelegenes Studio mit Küche & Dusche",3595908,Peter,Kreis 4,Langstrasse,47.3797,8.53599,Entire home/apt,149,3,31,2024-06-23,1.05,1,141,13,
5168505,Double room 1 Top of Zurich,22404783,Silvia,Kreis 7,Witikon,47.35687,8.59781,Private room,95,2,175,2024-06-04,1.55,3,288,28,
5208392,"1-bedroom apartment, Nordstrasse",17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,220,3,7,2022-05-01,0.07,23,178,0,
5209282,Charming studio / old town UZ12,23561865,Dimi,Kreis 1,Rathaus,47.3718,8.54541,Entire home/apt,138,2,191,2024-05-26,1.68,71,29,24,
5210463,"1-bedroom apartment, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,326,3,3,2019-09-08,0.04,23,178,0,
5267443,Family apartment in Zurich,3845079,Tilke,Kreis 4,Werd,47.37013,8.5263,Entire home/apt,,5,24,2024-05-05,0.22,1,11,3,
5307932,4 Zimmer Wohnung Kreis 2,27493420,Valeria,Kreis 2,Enge,47.3623,8.5273,Entire home/apt,,3,6,2022-10-22,0.05,1,0,0,
5343043,Cozy apartment next to river!,12282711,Ella,Kreis 10,Höngg,47.40108,8.49317,Entire home/apt,104,5,1,2023-04-12,0.07,1,173,0,
5349018,"1-bedroom apartment, Seefeld",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,255,3,1,2016-10-19,0.01,23,183,0,
5349345,"1-bedroom apartment, Seefeld",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,255,3,3,2023-06-30,0.12,23,194,1,
5350564,"Studio Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,155,3,16,2022-12-05,0.14,23,178,0,
5350881,"Studio Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,155,3,16,2020-01-06,0.14,23,178,0,
5352022,Schöne Wohnung in Zürich,12980091,Fabienne,Kreis 10,Höngg,47.40583,8.47929,Entire home/apt,,7,0,,,1,0,0,
5378507,Private room in Oerlikon,18128386,Alessandro,Kreis 11,Oerlikon,47.41072,8.54479,Private room,60,7,0,,,1,68,0,
5483148,Living & Homeoffice with absolutely dream views !,13570663,Christian Robert,Kreis 1,Rathaus,47.37382,8.54228,Entire home/apt,127,3,424,2024-06-08,3.75,35,319,48,
5609431,Cosy und ruhig,5247348,Cathy,Kreis 3,Alt-Wiedikon,47.36911,8.5086,Private room,,2,31,2023-08-27,0.28,1,0,5,
5687423,Great 2BR flat/ old town Niederdorf,23561865,Dimi,Kreis 1,Rathaus,47.37286,8.54384,Entire home/apt,,2,230,2024-06-16,2.36,71,0,47,
5744466,"3,5r family flat &practical located",8287735,Fuwa,Kreis 11,Seebach,47.41815,8.55864,Entire home/apt,145,3,128,2022-01-15,1.15,1,285,0,
5779827,ZURICH CITY LOFT!,24041926,Claus,Kreis 2,Enge,47.35965,8.52389,Entire home/apt,329,2,82,2024-06-25,0.75,1,211,11,
6007128,"Sofa bed. Quiet, Safe, Clean",1371406,Jens,Kreis 11,Oerlikon,47.40464,8.55428,Private room,60,2,88,2024-06-08,0.79,2,21,10,
6046542,Best address in Zürich with amazing views oldtown,13570663,Christian Robert,Kreis 1,Lindenhof,47.37343,8.54054,Entire home/apt,85,3,210,2024-06-09,1.88,35,275,25,
6080762,"Charming, green & very close 2 city",22600456,Jana,Kreis 12,Hirzenbach,47.39872,8.58788,Entire home/apt,93,2,14,2019-07-28,0.13,1,271,0,
6293591,Cozy Studio for 3 with Roof terrace!,75558392,Filipa,Kreis 3,Alt-Wiedikon,47.36706,8.51947,Entire home/apt,104,1,472,2024-06-20,4.28,4,191,43,
6534203,Cosy and quiet studio close to city,32750738,Diana,Kreis 11,Affoltern,47.41322,8.52696,Entire home/apt,,3,65,2023-08-11,0.63,1,0,5,
6540490,Charming spacious bright & central!,34205281,Zoe,Kreis 7,Hottingen,47.37065,8.55371,Entire home/apt,150,3,30,2024-06-16,0.27,1,38,1,
6590086,einfaches Zimmer 1 Person / bei Anfrage 2,34472084,Räto,Kreis 9,Altstetten,47.38529,8.48208,Private room,90,1,0,,,1,20,0,
6752793,Near University and ETH,24506658,Anka,Kreis 7,Fluntern,47.37905,8.55564,Private room,77,1,153,2024-06-12,1.40,1,57,28,
6857376,Attic Apartment Zurich City,34541936,Strahinja,Kreis 4,Hard,47.37792,8.51425,Entire home/apt,329,1,462,2024-06-25,5.75,12,33,57,
6858968,Cosy flat with home-office  in charming Seefeld,773469,Cécile,Kreis 8,Mühlebach,47.36555,8.54881,Entire home/apt,190,5,16,2023-08-05,0.15,1,310,1,
6862908,Maisonette flat / old town (UZ10),23561865,Dimi,Kreis 1,Rathaus,47.37285,8.54585,Entire home/apt,249,2,106,2024-06-19,1.25,71,4,27,
6930672,Quiet and bright downtown Apartment,20803042,Lukas,Kreis 4,Langstrasse,47.37563,8.53061,Entire home/apt,,3,7,2022-12-13,0.13,1,0,0,
6996487,Comfortable Room in a Shared House,36591564,Daniela,Kreis 6,Oberstrass,47.39312,8.55122,Private room,600,3,0,,,1,365,0,
7232723,Luxury Apartment w Roof Top Terrace,5470758,Branca,Kreis 1,Hochschulen,47.37789,8.54338,Entire home/apt,350,3,9,2018-08-17,0.09,2,352,0,
7551201,Cosy place with spacious terrace,4895760,Johannes,Kreis 8,Mühlebach,47.35355,8.55998,Entire home/apt,87,2,173,2024-05-20,1.62,1,5,8,
7589458,城市中心1号Oerlikon Bahnhof,39800475,Jun,Kreis 11,Oerlikon,47.41202,8.54668,Private room,65,1,172,2024-06-17,5.04,2,334,42,
7599396,"Big and comfortable flat, centrally located",9176822,Ferrat,Kreis 4,Hard,47.37571,8.517,Entire home/apt,240,7,12,2024-06-20,0.11,2,82,2,
7613086,苏黎世火车站2号Oerlikon  bahnhof,39800475,Jun,Kreis 11,Oerlikon,47.40874,8.54407,Private room,66,1,154,2024-06-17,1.43,2,341,43,
7646490,Brand New Cozy Loft,4387358,Mo & Angelika,Kreis 9,Altstetten,47.38479,8.49355,Entire home/apt,138,30,18,2019-11-04,0.17,3,365,0,
7673299,Stadt Zürich- freundliches Zimmer (2),19610180,Rossana,Kreis 9,Altstetten,47.38085555769336,8.48190337260484,Private room,50,30,64,2024-06-10,0.59,19,245,6,
7673510,Stadt Zürich-kleines Zimmer (1)  in Gästehaus,19610180,Rossana,Kreis 9,Altstetten,47.38002,8.48089,Private room,49,30,75,2024-03-28,0.69,19,242,11,
7684956,Modern Flat with balcony& view over Zurich.,20302522,Jenny,Kreis 10,Höngg,47.40377,8.48851,Entire home/apt,200,1,13,2021-07-31,0.18,1,87,0,
7726353,Beautiful & modern app - centre!,40598152,Patricia,Kreis 5,Escher Wyss,47.38771,8.51415,Entire home/apt,139,3,15,2024-06-17,0.15,1,195,8,
7737458,Garden Studio Apartment 2,40667302,Peter/Engin,Kreis 7,Fluntern,47.37749,8.56042,Entire home/apt,240,2,19,2023-09-30,0.18,14,357,1,
7739547,Garden Studio Apartment 1,40667302,Peter/Engin,Kreis 7,Fluntern,47.37895,8.55839,Entire home/apt,240,2,43,2023-11-01,0.40,14,346,1,
7741739,Zurlinden Studio Apartment 1,40667302,Peter/Engin,Kreis 4,Hard,47.37765,8.51169,Entire home/apt,175,5,8,2023-08-06,0.07,14,358,1,
7746167,"Big & comfi 25m2 private room, centrally located",9176822,Ferrat,Kreis 3,Sihlfeld,47.37398,8.51586,Private room,105,7,43,2023-09-16,0.41,2,82,1,
7756218,Room 4 Double room with a balcony,40667302,Peter/Engin,Kreis 7,Fluntern,47.37753,8.56021,Private room,150,1,23,2023-12-25,0.23,14,302,1,
7841685,Amazing oldtown location by Airhome,475053,James,Kreis 1,Rathaus,47.37137,8.54428,Entire home/apt,329,1,100,2024-06-14,0.93,14,327,9,
7927329,Appartement am Irchelpark,39464144,Ingrid,Kreis 6,Oberstrass,47.39641,8.55177,Private room,100,180,2,2023-05-30,0.03,2,358,0,
